万	萬
与	與
丑	醜
丒	囟
专	專
丗	卅
丘	丘
业	業
丛	叢
东	東
丝	絲
両	兩
丢	丟
两	兩
严	嚴
丧	喪
丨	｜
个	個
丬	爿
丯	丰
丰	豐
临	臨
丶	⼂
为	為
丽	麗
举	舉
丿	⼃
乃	乃
么	麼
义	義
乌	烏
乐	樂
乔	喬
习	習
乡	鄉
书	書
买	買
乱	亂
亀	龜
亁	乾
了	了
争	爭
亏	虧
云	雲
亘	亙
亚	亞
亠	⼇
产	產
亩	畝
亲	親
亵	褻
亸	嚲
亻	人
亿	億
仅	僅
仆	僕
从	從
仑	崙
仓	倉
他	他
仙	仙
仪	儀
们	們
仮	假
价	價
仿	仿
众	眾
优	優
会	會
伛	傴
伞	傘
伟	偉
传	傳
伤	傷
伥	倀
伦	倫
伧	傖
伪	偽
伫	佇
伲	抳
佑	佑
体	體
佛	佛
你	你
佣	佣
佥	僉
佩	佩
侄	侄
侠	俠
侣	侶
侥	僥
侦	偵
侧	側
侨	僑
侩	儈
侪	儕
侬	儂
俣	俁
俦	儔
俨	儼
俩	倆
俪	儷
俭	儉
倮	惈
债	債
倾	傾
偬	傯
偻	僂
偾	僨
偿	償
傈	慄
傥	儻
傧	儐
储	儲
傩	儺
僵	殭
儿	兒
兀	兀
克	克
兎	兔
兑	兌
兖	兗
党	黨
兪	俞
兰	蘭
关	關
兴	興
兹	茲
养	養
兽	獸
兾	糞
兿	藝
冁	囅
冂	⼌
内	內
円	丹
冈	岡
册	冊
冖	⼍
写	寫
军	軍
农	農
冝	宜
冢	塚
冦	寇
冧	霖
冨	富
冩	寫
冫	⼎
冮	江
冯	馮
冲	衝
决	決
况	況
冸	泮
冺	泯
冻	凍
冿	津
净	淨
凁	涑
凂	浼
凃	涂
凄	淒
准	准
凇	淞
凉	涼
减	減
凑	湊
凒	溰
凓	溧
凕	溟
凖	準
凙	澤
凚	澿
凛	凜
凟	瀆
几	幾
凤	鳳
凥	尻
処	處
凨	云
凫	鳧
凬	凰
凭	憑
凮	鳳
凯	凱
凴	憑
凶	凶
出	出
击	擊
凼	窞
凾	亟
凿	鑿
刄	刃
刅	刃
刋	刊
刍	芻
划	劃
刘	劉
则	則
刚	剛
创	創
删	刪
刦	劫
刧	劫
刨	刨
别	別
刭	剄
刮	刮
刴	剁
制	制
刹	剎
刼	劫
刽	劊
刿	劌
剀	剴
剂	劑
剃	剃
剐	剮
剑	劍
剥	剝
剧	劇
剰	剩
劎	劍
劒	劍
劔	劍
劝	勸
办	辦
务	務
劢	勱
动	動
励	勵
劲	勁
劳	勞
労	勞
劵	卷
効	效
劽	裂
势	勢
勅	敕
勋	勛
勐	猛
勚	勩
勠	戮
勥	強
勧	勸
勲	勳
勹	⼓
匀	勻
匦	匭
匮	匱
区	區
医	醫
匾	匾
千	千
升	升
华	華
协	協
单	單
卖	賣
単	單
卙	斟
卛	攣
卜	卜
卟	嚇
占	占
卢	盧
卤	鹵
卥	囟
卧	臥
卩	⼙
卫	衛
却	卻
卷	卷
卺	巹
厂	廠
厅	廳
历	歷
厉	厲
压	壓
厌	厭
厍	厙
厕	廁
厛	廳
厠	廁
厢	廂
厣	厴
厦	廈
厨	廚
厩	廄
厮	廝
厰	廠
厳	嚴
厶	⼛
县	縣
叁	參
参	參
叄	參
叆	靉
叇	靆
双	雙
収	收
叏	發
叐	發
发	發
变	變
叙	敘
叠	疊
叧	另
只	只
台	台
叶	葉
号	號
叹	嘆
叽	嘰
吁	籲
吊	吊
同	同
后	後
向	向
吓	嚇
吕	呂
吖	嗄
吗	嗎
吣	唚
吨	噸
听	聽
启	啟
吴	吳
吿	告
呆	呆
呋	咐
呐	吶
呑	吞
呒	嘸
呓	囈
呕	嘔
呖	嚦
呗	唄
员	員
呙	咼
呛	嗆
呜	嗚
周	周
呪	咒
和	和
咏	詠
咔	哢
咙	嚨
咛	嚀
咝	吱
咣	光
咤	吒
咴	噅
咸	咸
咽	咽
哄	哄
哌	呱
响	響
哐	匡
哑	啞
哒	噠
哓	嘵
哔	嗶
哕	噦
哗	嘩
哙	噲
哜	嚌
哝	噥
哟	喲
哺	哺
唛	嘜
唝	嗊
唠	嘮
唡	啢
唢	嗩
唣	嗦
唤	喚
唿	呼
啉	咻
啕	啕
啧	嘖
啬	嗇
啭	囀
啮	嚙
啰	囉
啴	嘽
啸	嘯
喧	喧
喷	噴
喹	奎
喽	嘍
喾	嚳
嗀	嗀
嗉	膆
嗪	唚
嗫	囁
嗬	呵
嗳	噯
嗵	通
嘘	噓
嘞	咧
嘠	嘎
嘣	迸
嘤	嚶
嘨	嘯
嘭	膨
嘱	囑
嘷	嚎
噔	登
噜	嚕
噪	噪
噻	塞
噼	劈
嚔	涕
嚢	囊
嚣	囂
嚯	謔
回	回
团	團
园	園
困	困
囱	囪
围	圍
囵	圇
国	國
图	圖
圆	圓
圣	聖
圹	壙
场	場
坂	阪
坏	壞
块	塊
坚	堅
坛	壇
坜	壢
坝	壩
坞	塢
坟	墳
坠	墜
垄	壟
垅	壟
垆	壚
垒	壘
垦	墾
垧	坰
垩	堊
垫	墊
垭	埡
垲	塏
垴	瑙
埘	塒
埙	塤
埚	堝
埝	墊
埯	垵
堑	塹
堕	墮
堤	堤
塡	填
塬	原
墒	墑
墙	牆
壮	壯
声	聲
壳	殼
壶	壺
壸	壼
夂	⼢
处	處
备	備
夊	⼢
复	複
够	夠
夫	夫
头	頭
夸	誇
夹	夾
夺	奪
奁	奩
奂	奐
奋	奮
奖	獎
奥	奧
奸	奸
妆	妝
妇	婦
妈	媽
妩	嫵
妪	嫗
妫	媯
姗	姍
姜	姜
姹	奼
娄	婁
娅	婭
娆	嬈
娇	嬌
娈	孌
娘	娘
娱	娛
娲	媧
娴	嫻
婳	嫿
婴	嬰
婵	嬋
婶	嬸
媪	媼
嫒	嬡
